key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
82,Cope For Asthma: A Cognitive Behavioral Skills-Building Intervention For Children With Asthma And Anxiety,MCGOVERN CM,NA,,,,,2021,,,"Background & purpose: in the united states, asthma affects 6.1 million children and is one of the most common causes of school absenteeism. Asthma is also a major public health issue, accounting for more than $56 billion in annual healthcare costs. Children with asthma are at higher risk of having anxiety/depression and subsequently, higher morbidity and mortality. Few intervention studies have specifically targeted children with asthma and anxiety/depressive symptoms and no scalable school-based interventions are in use. The purpose of this pilot study was to assess the feasibility and acceptability of a school-based, cognitive behavioral skills-building intervention on 8 – 12-year-old children with asthma and anxiety/depression.methods: a one-group, pre/posttest with a 6-week follow-up post intervention was used to assess the feasibility, acceptability and preliminary effects of creating opportunities for personal empowerment (cope) for asthma on anxiety and depressive symptoms, asthma management self-efficacy, symptom perception, asthma illness representations, controller medication in 8 – 12-year old children with asthma and anxiety/depressive symptoms. Repeated measures anova was used for variables using three time-points, while paired t-tests were used for comparisons using two time-points.results: thirty-two children participated in cope for asthma. Analyses indicated that cope for asthma is feasible for 8 – 12 year-old-children with asthma and anxiety. Significant reductions were found in anxiety, missed doses of the asthma controller medication, and the caregiver completed pediatric symptom checklist, all with moderate to large effect sizes. Significant increases were found in personal beliefs, child-asthma self efficacy, child asthma illness representations, with moderate to large effect sizes.conclusions: cope for asthma is highly feasible for small groups in the school setting and should be tested in a pilot randomized controlled trial to determine the effects when compared to a control group. Cope for asthma could fill a gap in the need for a scalable intervention to improve the health outcomes of children with asthma and anxiety/depressive symptoms. (Psycinfo database record (c) 2021 apa, all rights reserved)",,,CHILDHOOD ASTHMA; ASTHMA; SCHOOL AGE; SCHOOL BASED INTERVENTION; COGNITIVE BEHAVIORAL INTERVENTION; COGNITIVE BEHAVIORAL SKILLS BUILDING; ANXIETY; ANXIETY MANAGEMENT; ASTHMA; BEHAVIOR THERAPY; COGNITIVE BEHAVIOR THERAPY; DRUG THERAPY; SCHOOL BASED INTERVENTION; SKILL LEARNING
83,"Insight In Psychosis: Standards, Science, Ethics And Value Judgment",JACOB KS,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,,,,,2017,,,"Background: the clinical assessment of insight solely employs biomedical perspectives and criteria to the complete exclusion of context and culture and to the disregard of values and value judgments. Aim: the aim of this discussion article is to examine recent research from india on insight and explanatory models in psychosis and re-examine the framework of assessment, diagnosis and management of insight and explanatory models. Methods: recent research from india on insight in psychosis and explanatory models is reviewed. Results: recent research, which has used longitudinal data and adjusted for pretreatment variables, suggests that insight and explanatory models of illness at baseline do not predict course, outcome and treatment response in schizophrenia, which seem to be dependent on the severity and quality of the psychosis. It supports the view that people with psychosis simultaneously hold multiple and contradictory explanatory models of illness, which change over time and with the trajectory of the illness. It suggests that insight, like all explanatory models, is a narrative of the person's reality and a coping strategy to handle with the varied impact of the illness. Conclusion: this article argues that the assessment of insight necessarily involves value entailments, commitments and consequences. It supports a need for a broad-based approach to assess awareness, attribution and action related to mental illness and to acknowledge the role of values and value judgment in the evaluation of insight in psychosis.",,,INSIGHT; EXPLANATORY MODELS; CULTURE; PSYCHOPATHOLOGY; PSYCHOSIS; ETHICS
84,Training And Practice Effects On Performance Attributions Among Non-Depressed And Depressed Older Persons,SEGAL C,NA,,,,,1988,,,NA,,,TRAINING & PRACTICE; PERFORMANCE ON FLUID & CRYSTALLIZED TASKS & ATTRIBUTIONS; DEPRESSED VS NONDEPRESSED ELDERLY; ATTRIBUTION; MAJOR DEPRESSION; PERFORMANCE; PRACTICE
85,"Stigmatisation Of Mental Illness By Medical Students In Conakry, Guinea",SOW A;VAN DORMAEL M;CRIEL B;CONDE S;DEWEZ M;DE SPIEGELAERE M,SANTE PUBLIQUE,,,,,2018,,,"Introduction: stigmatisation of mental illness constitutes a major problem in the development of mental healthcare programs, especially when it originates from health professionals themselves. The aim of this research is to investigate possible attitudes of stigmatisation among first and final year medical students registered at the university of conakry faculty of medicine in guinea-conakry (west africa). Methods: focus group discussions identified students' attitudes and perceptions in relation to mental illness, their explanatory models, their opinions concerning traditional and modern therapeutic practices with regard to mental illness, and their interest to possibly incorporate psychiatry in their future medical practice. Results: many students explicitly regret the stigmatisation of mental health patients, but nevertheless share the general population's prevailing attitudes of discrimination. The dominant stereotype of mental illness is that of madness, although final year medical students describe a more diverse spectrum of mental health problems. There is strong adherence to secular occult explanations of mental illness and advocacy for traditional medicine in addressing these illnesses, including among final year medical students. Discussion: no student would opt for psychiatry as a specialisation, although some expressed interest in integrating psychiatry into their future medical practice. However, this research indicates that stigmatising attitudes are not cut in stone. Under the impetus of specific teaching programmes, attitudes can evolve to create room for tolerance and compassion.",,,MENTAL HEALTH; ATTITUDES; MEDICAL STUDENTS; SUB-SAHARAN AFRICA
86,Attributional Patterns As Predictors Of Task-Associated Anxiety,CAMP GF,NA,,,,,1987,,,NA,,,ATTRIBUTIONAL PATTERNS; PREDICTION OF TASK ASSOCIATED ANXIETY; COLLEGE STUDENTS; ANXIETY; ATTRIBUTION
87,Cognitive Vulnerability To Depression And The Mood-State Hypothesis,ENGEL RA,NA,,,,,1994,,,NA,,,COGNITIVE VULNERABILITY TO DEPRESSION; PREVIOUSLY DEPRESSED VS NEVER DEPRESSED FEMALES; APPLICATION OF MOOD-STATE HYPOTHESIS; ATTRIBUTION; COGNITIONS; EMOTIONAL STATES; MAJOR DEPRESSION; SUSCEPTIBILITY (DISORDERS)
88,Attribution Biases In Schizophrenia: Relationship To Clinical And Functional Impairments,COHEN AS;NIENOW TM;DINZEO TJ;DOCHERTY NM,PSYCHOPATHOLOGY,,,,,2009,,,"Background: patients with schizophrenia exhibit impairment in their ability to accurately recognize facial emotions in others, and the severity of this emotion perception deficit has been associated with poorer functioning. However, the mechanisms underlying facial emotion perception deficits are poorly understood. There is evidence to suggest that patients, particularly those with certain positive symptoms, may misinterpret other people’s facial expressions as having an overly negative valence. The present study examined the degree to which attribution biases in facial emotion perception are associated with psychiatric symptomatology and social and occupational impairments. Sampling and methods: the error profiles from a facial emotion perception test were analyzed and compared for 67 schizophrenic state hospital inpatients and 21 non psychiatric controls. Attribution bias scores were separately computed for each of six types of emotion. Results: the error profiles were remarkably similar for patients as a group and controls. Within the patient group, severity of positive symptoms was associated with more ‘fear’ misperceptions. Patients with relatively high levels of ‘anger’ misperceptions tended to have more severe disorganization and negative symptoms and more pronounced functional impairments. Interestingly, patients who erroneously reported seeing relatively high levels of ‘shame’ and ‘happiness’ showed better functioning and less severe symptoms. Conclusions: attribution biases appear to play a role in contributing to functional impairments in patients with schizophrenia. The lack of an isomorphic attribution bias across patients highlights the importance of considering schizophrenia heterogeneity when attempting to understand and treat social cognitive deficits. (Psycinfo database record (c) 2018 apa, all rights reserved)",,,ATTRIBUTION BIASES; SCHIZOPHRENIA; CLINICAL IMPAIRMENTS; FUNCTIONAL IMPAIRMENTS; FACIAL EMOTION PERCEPTION; PSYCHIATRIC SYMPTOMATOLOGY; SOCIAL IMPAIRMENTS; OCCUPATIONAL IMPAIRMENTS; ADULT; AFFECT; COGNITION DISORDERS; DIAGNOSTIC AND STATISTICAL MANUAL OF MENTAL DISORDERS; FACIAL EXPRESSION; FEMALE; HUMANS; MALE; MIDDLE AGED; NEUROPSYCHOLOGICAL TESTS; PSYCHOTIC DISORDERS; RECOGNITION (PSYCHOLOGY); SCHIZOPHRENIA; SEVERITY OF ILLNESS INDEX; SOCIAL PERCEPTION; SURVEYS AND QUESTIONNAIRES; ATTRIBUTION; FACIAL EXPRESSIONS; PSYCHIATRIC SYMPTOMS; PSYCHOSOCIAL FACTORS; SCHIZOPHRENIA; EMOTIONS; FACE PERCEPTION
89,Assessing And Treating Attention Deficit Hyperactivity Disorder In Culturally Diverse Populations,BUSSING R;GARY F;EVANS SW;HOZA B,TREATING ATTENTION DEFICIT HYPERACTIVITY DISORDER: ASSESSMENT AND INTERVENTION IN DEVELOPMENTAL CONTEXT.,,,,,2011,,,"In this chapter we will address ethnic/ racial and cultural issues in the assessment and treatment of adhd in children and adults in a sequential manner. First, we will briefly provide a context and definitions for relevant terms, such as race, racism, ethnicity, and culture. Concepts and definitions that are typically associated with ethnic minority groups will be briefly discussed and should help the reader to better understand how the terms are being used in this chapter. We will briefly review findings from the u.s. Census to supplement our review with facts and projections about the composition of the u.s. Population, and reflect on two important related concepts, cultural competency and patient-centered care. The second part of the chapter briefly reviews variations in adhd prevalence in the united states by racial/ethnic backgrounds. From a public health perspective, it is critical to know whether prevalence of a given disorder varies by sociodemographic characteristics, in order to be able to assess whether sociodemographic differences in access to care reflect differences in need for care or access disparities. In the third part of the chapter we will review factors relevant to help-seeking and observed disparities in adhd care, such as adhd knowledge, parental explanatory models of adhd, and mental health stigma perceptions. The fourth part of the chapter addresses cross-cultural issues in adhd treatment and outcomes; and the final section concludes with a summary and recommendations for further research. (Psycinfo database record (c) 2022 apa, all rights reserved)",,,NA
90,"Asian Americans’ Adherence To Asian Values, Attributions About Depression, And Coping Strategies",WONG YJ;KIM SH;TRAN KK,CULTURAL DIVERSITY AND ETHNIC MINORITY PSYCHOLOGY,,,,,2010,,,"Using brickman et al.’S (1982) theoretical framework of responsibility attributions, the authors examined the relationships among adherence to asian values, attributions about the cause of and solution to depression, and preferred coping strategies in a nonclinical sample of asian americans. Results of a path analysis (n = 238) indicate that attribution of cause fully mediated the relations between adherence to asian values and use of coping strategies. Adherence to asian values was positively related to attributing the cause of depression to internal factors, which was in turn associated with greater use of disengagement coping strategies and decreased use of engagement coping strategies. In addition, an internal attribution for the solution to depressive symptoms was related to more reliance on engagement coping strategies and a lower use of disengagement coping strategies. Practical implications of the results are discussed. (Psycinfo database record (c) 2018 apa, all rights reserved)",,,ASIAN AMERICAN; ASIAN VALUES; ATTRIBUTION; COPING; DEPRESSION; ADAPTATION; PSYCHOLOGICAL; ADULT; ASIAN AMERICANS; CHI-SQUARE DISTRIBUTION; DEPRESSION; FEMALE; HUMANS; MALE; MODELS; PSYCHOLOGICAL; PSYCHOLOGICAL TESTS; SOCIAL RESPONSIBILITY; SOCIAL VALUES; YOUNG ADULT; ASIANS; ATTRIBUTION; COPING BEHAVIOR; MAJOR DEPRESSION; MENTAL ILLNESS (ATTITUDES TOWARD); ETHNIC VALUES; SOCIAL VALUES
91,Het Syndroom Van Capgras: Convergerende Modellen = The Syndrome Of Capgras: Converging Models,SCHOLTE-STALENHOEF AN;VAN DEN BOSCH RJ,TIJDSCHRIFT VOOR PSYCHIATRIE,,,,,2012,,,"Background: various theories have been proposed concerning the syndrome of capgras. Aim: to search for a concept that is common to the various theories relating to the aetiology of the syndrome of capgras. Methods: we begin by describing a new case of capgras syndrome that we encountered recently, and thereafter we searched the literature using pubmed and psycinfo. Results: various explanatory models converge in that they all assign a central role to a changed affect. A sensation of ‘alienation’ at a conscious or subconscious level, together with inadequate evaluation of beliefs, seems plausible. All models demonstrate some form of ‘splitting’ i.e. The separate processing of information in time, anatomy or mental representation. Conclusion: although there is no conclusive evidence to support any one of the hypotheses, the models display striking similarities. They complement each other. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,CAPGRAS SYNDROME; AETIOLOGY; SENSATION; SUBCONSCIOUS LEVEL; CAPGRAS SYNDROME; ETIOLOGY; PERCEPTION; SUBCONSCIOUS
92,Defiant Hospitality: A Grounded Theory Study Of Harm Reduction Psychotherapy,MILET RC;LOPEZ-CASTRO T;LEIBOWITZ A;MCGIRR K;VAKHARIA SP,ADDICTION RESEARCH \& THEORY,,,,,2021,,,"Harm reduction psychotherapy (hrp)is an approach to providing psychotherapy to people who use substances in which abstinence is considered neither a prerequisite to treatment nor its predominant mark of success. There is to date scant empirical research on this clinical approach despite its decades-long practice. Ourstudy aims to spur further investigations by asking:1) what are the basic building blocks of hrp; and (2) what theory might explain how its core strategies are unified?Eight leading hrp proponents and practitioners participated in semi-structured interviews to explore the nature of their work and how they came to it. Through an analysis of the interviewsguided by grounded theory, we propose an explanatory model of hrp as practiced in the u.s. In this model, practitioners, informed by an ethos of defiant hospitality, deploy a variety of therapeutic processes whose combined, complex effects are captured in the phrase making room, which conveys opening up space while simultaneously providing safe enclosure. Making room is operationalized in processes comprising: inviting, meeting at, staying with, holding, reframing substance use, leveraging change from within, supporting agency, and signaling the limits. We discuss the model as deeply informed by its socio-historical roots within treatment spacesthat participants experienced as failing to meet their clients' needs. We also consider hrp'simplications for expanding the reach and capacity of addiction care for the majority of individuals with substance use disorders who may initially be unwilling or unable to abstain. Lastly, we describe its potential for furthering the field's understanding of therapeutic practice with marginalized populations.",,,HARM REDUCTION; SUBSTANCE USE; ADDICTION; GROUNDED THEORY;; PSYCHOTHERAPY; THERAPEUTIC ALLIANCE
93,The Hopelessness Theory Of Depression: A Comprehensive Test Of Its Applicability To Elementary School Children,BELL SK,NA,,,,,2001,,,"Hopelessness theory predicts that immediately following a negative event, the impact of the event will predict depressive symptoms, while the interaction of the event and cognitive inferences about cause, self, and consequences of the event will predict distal depressive symptoms. The existing literature supports the utility of this model with adults; however, only a few studies have extended research to children. Far from comprehensive, studies to date have primarily tested the role of causal attribution from hopelessness theory in children, and none have tested the model with elementary children. The current study applied hopelessness theory to 273 students between third and fifth grades. Prior to report cards, a potentially negative event, comprehensive measures of the three key inferences from hopelessness theory were administered. An index to measure children's acceptable grades was also administered, and a grade stress score was calculated when there was a deficit between actual and acceptable grades. Depressive symptoms and negative affect were measured prior to report cards, immediately following report cards, and at one-week follow-up. Consistent with hopelessness theory, grade stress predicted negative affect immediately following report cards. Among children over 11-years-old, the interaction between inferences about self and grade stress predicted distal depression as well; however, the direction of the interaction was not consistent with the prediction of the theory. This study also compares sex differences in attributions to sex differences in depressive symptoms and negative affect. While boys reported more negative attributions, girls reported higher levels of depression and negative affect. Results are discussed in light of previous literature. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,HOPELESSNESS THEORY OF DEPRESSION; ACADEMIC ACHIEVEMENT; GRADE STRESS; ELEMENTARY SCHOOL CHILDREN; ACADEMIC ACHIEVEMENT; DEPRESSION (EMOTION); ELEMENTARY SCHOOL STUDENTS; HOPELESSNESS; THEORY VERIFICATION
94,Construct Validation Of Chronic Sorrow In Mothers Of Children With Chronic Illness,DUNNING EJ,NA,,,,,2000,,,"Researchers have described similarities in parental long-term affective responses to childhood chronic illness and have termed the response 'chronic sorrow.' Chronic sorrow has been described as a set of specific negative affects. The psychological dimensions of chronic sorrow have not been adequately examined. Few studies of families of children with chronic illness have used a comparison group. A cross-sectional, two-group design was used to examine the differences between the identified variables for mothers of children with a chronic versus an acute illness. A goal of this study was to validate the construct of chronic sorrow. Data were collected from mothers who attended an urban, pediatric, tertiary care setting. Mothers were randomly selected from a variety of outpatient clinics. The two groups consisted of 82 mothers who had a child diagnosed with a chronic illness and a comparison group of 68 mothers of children who had an acute health problem ameliorated with a minor surgical intervention. It was hypothesized that mothers of children who were diagnosed with a chronic illness would report significantly higher levels of fear, anger, frustration, sadness and helplessness and would not report higher levels of hopelessness or depression than would the mothers of children who had an acute health problem. Multivariate analysis of variance and covariance detected no differences on any of the dependent variables for either illness group even when the model included factors that may have confounded the results. The study also investigated whether some combination of affect would discriminate mothers of children with chronic versus acute illness. Logistic regression did not result in a significant model and accounted for an overall prediction success rate of 55% for illness group membership. A principle components analysis did not support the hypothesized relationships among the affects associated with chronic sorrow. Several possible methodologic, and theoretical explanations for the findings were posited. The findings suggest that the construct of chronic sorrow does not exist as defined by the presence of fear, frustration, anger, sadness, and helplessness. The process of adaptation to childhood chronic illness is complex and explanatory models require a systems perspective and an ecological framework. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,VALIDATION OF CONSTRUCT OF PARENTAL LONG-TERM AFFECTIVE RESPONSES; MOTHERS OF CHILDREN WITH CHRONIC ILLNESS; CHRONIC ILLNESS; EMOTIONAL RESPONSES; PARENT CHILD RELATIONS; STATISTICAL VALIDITY
95,"Attitudes Accentuate Attributes In Social Judgment: The Combined Effects Of Substance Use, Depression, And Technical Incompetence On Judgments Of Professional Impairment",BECKSTEAD JW,THE JOURNAL OF SOCIAL PSYCHOLOGY,,,,,2003,,,"Evaluative reactions involving attitudes have been shown to affect social judgments under certain conditions. Researchers assume that personality traits and behaviors toward which people hold strong attitudes evoke evaluative reactions. Such reactions influence the importance of these attributes as they are integrated with other information during the formation of social judgments and, in part, account for the accentuation effect. Social judgment was studied in the context of professional-impairment impressions provided by nurses. Data were modeled using hierarchical techniques to examine the interaction between within-judge differences in attribute weighting and between-judges differences in attitudes. Social judgments of fictitious targets were moderated by individual differences in judges' attitudes toward negative target attributes; some, but not all, attributes were accentuated as predicted. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,EVALUATIVE REACTIONS; SOCIAL JUDGMENT; PROFESSIONAL IMPAIRMENT; ACCENTUATION EFFECT; PERSONALITY TRAITS; STRONG ATTITUDES; NURSES; ADULT; ATTITUDE OF HEALTH PERSONNEL; DEPRESSIVE DISORDER; FEMALE; FLORIDA; HUMANS; LINEAR MODELS; MALE; NURSING; PROFESSIONAL COMPETENCE; PROFESSIONAL IMPAIRMENT; SOCIAL PERCEPTION; SUBSTANCE-RELATED DISORDERS; ATTITUDE FORMATION; ATTRIBUTION; JUDGMENT; PERSONALITY TRAITS; SOCIAL PERCEPTION; NURSES
96,Use Of Causally Relevant Situational Information By Depressed And Nondepressed Individuals: Do Depressives Make 'Unwarranted' Inferences?,HAACK LJ,NA,,,,,1991,,,NA,,,AVAILABILITY OF RELEVANT SITUATIONAL INFORMATION; ATTRIBUTION OF CAUSALITY FOR EVENT; DEPRESSED VS NONDEPRESSED ADULTS; TEST OF A. T. BECK'S THEORY OF UNWARRANTED INFERENCES; ATTRIBUTION; INFERENCE; MAJOR DEPRESSION; THEORY VERIFICATION
97,The Status Of Expectancy-Arousal Theory: Comparative Credibility Of Systematic Desensitization And Rational-Emotive Therapy In The Treatment Of Anxiety About Study,DRYDEN W;DANCEY C;GOLDSMITH P,PSYCHOLOGICAL REPORTS,,,,,1990,,,"Studied the persuasiveness of rational-emotive therapy (ret) and systemic desensitization (sds) treatment rationales in relation to length of treatment. 96 university students imagined that they were suffering from study anxiety (sax), read a description of sax and one of treatment rationale, and assessed the credibility of the therapy. Results do not support the expectancy-arousal hypothesis; ret and sds did not differ on 5 of 6 credibility ratings. Favorable credibility ratings for sds were not apparent. Data were not consistent with d. A. Shapiro's (see record [rid]1982-06113-001[/rid]) supportive findings for expectancy-arousal explanations of differential therapeutic outcomes. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,PERCEPTION OF CREDIBILITY OF RATIONAL EMOTIVE VS SYSTEMATIC DESENSITIZATION THERAPY FOR TREATMENT OF STUDY ANXIETY; COLLEGE STUDENTS; ADULT ATTITUDES; ATTRIBUTION; RATIONAL EMOTIVE BEHAVIOR THERAPY; SYSTEMATIC DESENSITIZATION THERAPY; TREATMENT EFFECTIVENESS EVALUATION; ANXIETY
98,Assessment Of Explanatory Models Of Mental Illness: Effects Of Patient And Interviewer Characteristics,GHANE S;KOLK AM;EMMELKAMP PMG,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,,,,,2010,,,"Explanatory models (ems) refer to patients' causal attributions of illness and have been shown to affect treatment preference and outcome. Reliable and valid assessment of ems may be hindered by interviewer and respondent disparities on certain demographic characteristics, such as ethnicity. The present study examined (a) whether ethnic minority patients reported different ems to ethnically similar interviewers in comparison with those with a different ethnicity, and (b) whether this effect was related to respondents' social desirability, the perceived rapport with the interviewer and level of uncertainty toward their ems. A total of 55 patients of turkish and moroccan origins with mood and anxiety disorders were randomly assigned to ethnically similar or dissimilar interviewers. Ems were assessed, using a semi-structured interview, across 11 different categories of causes. Participants who were interviewed by an ethnically similar interviewer perceived interpersonal, victimization and religious/mystical causes as more important, whereas interviews by ethnically dissimilar interviewers generated higher scores on medical causes. These effects were not mediated by the perceived rapport with the interviewer, and social desirability had a modest impact on the results. Higher uncertainty among participants toward medical and religious/mystical causes seemed to be associated with greater adjustment in the report of these ems. The findings have significant implications for interviewer selection in epidemiological research and clinical practice.",,,EXPLANATORY MODELS; MENTAL ILLNESS; INTERVIEWER EFFECT; MATCH EFFECT;; ETHNIC MINORITIES
99,The Effects Of A Therapist's Interpersonal Interest On An Observer's Mental Health Illness Ratings Of A Client Within The Context Of A Psychiatric Interview,YAFFE PE,NA,,,,,1975,,,NA,,,THERAPIST'S INTERPERSONAL INTEREST LEVEL & ROLE BEHAVIOR DURING PSYCHIATRIC INTERVIEW; RATING OF CLIENT'S MENTAL ILLNESS; OBSERVERS; ATTRIBUTION; MENTAL HEALTH; PSYCHODIAGNOSTIC INTERVIEW; ROLES; THERAPIST CHARACTERISTICS; MENTAL DISORDERS
100,"Emotional Expression, Self-Silencing, And Distress Tolerance In Anorexia Nervosa And Chronic Fatigue Syndrome",HAMBROOK D;OLDERSHAW A;RIMES K;SCHMIDT U;TCHANTURIA K;TREASURE J;RICHARDS T,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,,,,,2011,,,"Objectives. Difficulties in processing emotional states are implicated in the aetiology and maintenance of diverse health conditions, including anorexia nervosa (an) and chronic fatigue syndrome (cfs). This study sought to explore distress tolerance, self-silencing, and beliefs regarding the experience and expression of emotions in individuals diagnosed with an and cfs. These conditions were chosen for this study because their clinical presentation is characterized by physical symptoms, yet cognitive behavioural models suggest that emotional processing difficulties contribute to the aetiology and maintenance of both. Design. A between-subjects cross-sectional design was employed. Methods. Forty people with an, 45 with cfs, and 48 healthy controls (hcs) completed the distress tolerance scale (dts), silencing the self scale (stss), beliefs about emotions scale (bes), and measures of clinical symptomatology. Results. Initial group comparisons found that both an and cfs participants scored higher than hcs on a subscale measuring difficulties in distress tolerance. An and cfs participants were also more likely to judge themselves by external standards, endorse statements reflecting a tendency to put the needs of others before themselves, and present an outwardly socially compliant image of themselves whilst feeling hostile within. Relative to hcs, an participants reported more maladaptive beliefs regarding the experience of having negative thoughts and feelings and revealing these emotions to others, with cfs participants showing a non-significant trend in the same direction. After controlling for differences in age, anxiety, and depression the only significant difference to remain was that observed for the stss care as self-sacrifice subscale. More maladaptive beliefs about the experience and expression of emotions were associated with greater degree of eating disorder symptomatology in the an group. Conclusions. Differences in emotional processing are present in an and cfs compared to hcs, with some disorder-specific variation, and may be associated with greater clinical symptomatology. These findings support current explanatory models of both an and cfs, and suggest that emotional processing should be addressed in the assessment and treatment of individuals with these illnesses.",,,NA
101,Anxiety And Cardiovascular Disease: Epidemiology And Proposed Mechanisms,ALVARENGA ME;BYRNE D;ALVARENGA ME;BYRNE D,"HANDBOOK OF PSYCHOCARDIOLOGY., VOLS. 1-2.",,,,,2016,,,"Anxiety disorders tend to be highly prevalent in heart disease, particularly amongst patients recovering from acute cardiac events. Yet, the role of anxiety in heart disease has not received as much attention in the literature as has depression. Epidemiologic studies indicate that there is an increased risk of sudden death and myocardial infarction in patients experiencing panic anxiety. Pathophysiologic correlates of anxiety appear to contribute to an increased cardiac risk, leading to the appreciation that anxiety disorders might in fact constitute a risk to life as exemplified by the cardiovascular disease link. Explanatory mechanisms of cardiac risk point to a link between anxiety and heart disease being mediated by stress giving way to increased cardiac sensitivity and reactivity. The present chapter reviews the psychobiological link between anxiety and heart disease. It also supports an integrative approach for the analysis of psychogenic heart disease, that cardiac patients can benefit from cardiologists educating them about the influence of psychosocial factors on their cardiac conditions and that further research is required on the development of specific psychologically based therapies which tap into the proposed pathophysiological mechanisms associated with the mind-heart nexus. (Psycinfo database record (c) 2022 apa, all rights reserved)",,,NA
102,Rebranding Gout: Could A Name Change For Gout Improve Adherence To Urate-Lowering Therapy?,COLESHILL MJ;AUNG E;CARLAND JE;FAASSE K;STOCKER S;DAY RO,THERAPEUTIC INNOVATION \& REGULATORY SCIENCE,,,,,2021,,,"Gout is the most common form of inflammatory arthritis in men, yet both patients and the public often do not recognise gout as a form of arthritis. Instead, due to historical misconceptions, gout is typically seen as a lifestyle disease caused by poor diet. In reality, there are a number of risk factors that contribute to gout, including genetic factors. Views of gout as precipitated by lifestyle alone can lead to stigma, and maladaptive beliefs that it should be treated primarily through dietary changes. This is thought to contribute to poor uptake of, and adherence to, effective pharmaceutical treatments. Gout has some of the poorest medication adherence rates of any chronic disease, contributing to suboptimal health outcomes for patients. Recent research suggests that when gout is referred to as `urate crystal arthritis' (a rarely used name for gout), the perception of the disease by members of the public was more accurate. It was viewed as being less under personal control (i.e. Less appropriately managed by behaviours such as dietary intake), and more appropriately managed by long-term medical treatment. This finding raises the possibility that patients themselves might also benefit from gout being explicitly labelled as arthritis. Indeed, parallels can be drawn between this case and other diseases that have recently had their names changed to improve outcomes, namely primary biliary cirrhosis and schizophrenia. A movement away from the term gout may benefit those living with the disease by changing illness perceptions and increasing uptake of, and adherence to, guideline-recommended treatment(s).",,,GOUT; URATE-LOWERING THERAPY; ALLOPURINOL; NAME CHANGE; URATE CRYSTAL; ARTHRITIS; TREATMENT ADHERENCE
103,Contribution Of Shame And Attribution Style In Developing Ptsd Among Japanese University Women With Negative Sexual Experiences,UJI M;SHIKAI N;SHONO M;KITAMURA T,ARCHIVES OF WOMEN'S MENTAL HEALTH,,,,,2007,,,"The roles of shame and attribution style in developing posttraumatic stress disorder (ptsd) were examined among 172 japanese university women with negative sexual experiences (nses) using a structural equation model. 'Shame' directly predicted ptsd, whereas 'internal attribution' and 'external attribution' did not. The effect of internal attribution on ptsd was mediated by shame. In a simultaneous analysis of multi-groups, only the relationship with the perpetrator showed a different contribution for shame in developing ptsd symptoms. In addition, the role of the shame and attribution style in developing ptsd symptoms in the japanese culture was discussed. (Psycinfo database record (c) 2022 apa, all rights reserved)",,,SHAME; ATTRIBUTION STYLE; POSTTRAUMATIC STRESS DISORDER; JAPANESE UNIVERSITY WOMEN; NEGATIVE SEXUAL EXPERIENCES; ADULT; CRIME VICTIMS; FEMALE; HUMANS; INTERNAL-EXTERNAL CONTROL; INTERPERSONAL RELATIONS; JAPAN; PSYCHIATRIC STATUS RATING SCALES; SELF CONCEPT; SHAME; STRESS DISORDERS; POST-TRAUMATIC; STUDENTS; SURVEYS AND QUESTIONNAIRES; WOMEN'S HEALTH; ATTRIBUTION; COLLEGE STUDENTS; POSTTRAUMATIC STRESS DISORDER; SEXUAL ATTITUDES; SHAME
